DateTimeq,Flow
2/26/20 10:25,2.87
2/26/20 10:30,2.78
2/26/20 10:35,2.87
2/26/20 10:40,2.77
2/26/20 10:45,2.77
2/26/20 10:50,2.77
2/26/20 10:55,2.96
2/26/20 11:00,2.86
2/26/20 11:05,2.6
2/26/20 11:10,2.68
2/26/20 11:15,2.6
2/26/20 11:20,2.51
2/26/20 11:25,2.6
2/26/20 11:30,2.51
2/26/20 11:35,2.42
2/26/20 11:40,2.51
2/26/20 11:45,2.6
2/26/20 11:50,2.42
2/26/20 11:55,2.51
2/26/20 12:00,2.51
2/26/20 12:05,2.51
2/26/20 12:10,2.51
2/26/20 12:15,2.51
2/26/20 12:20,2.34
2/26/20 12:25,2.51
2/26/20 12:30,2.51
2/26/20 12:35,2.34
2/26/20 12:40,2.42
2/26/20 12:45,2.42
2/26/20 12:50,2.42
2/26/20 12:55,2.42
2/26/20 13:00,2.51
2/26/20 13:05,2.34
2/26/20 13:10,2.34
2/26/20 13:15,2.51
2/26/20 13:20,2.42
2/26/20 13:25,2.42
2/26/20 13:30,2.51
2/26/20 13:35,2.33
2/26/20 13:40,2.51
2/26/20 13:45,2.42
2/26/20 13:50,2.33
2/26/20 13:55,2.33
2/26/20 14:00,2.33
2/26/20 14:05,2.33
2/26/20 14:10,2.5
2/26/20 14:15,2.33
2/26/20 14:20,2.33
2/26/20 14:25,2.5
2/26/20 14:30,2.5
2/26/20 14:35,2.33
2/26/20 14:40,2.42
2/26/20 14:45,2.33
2/26/20 14:50,2.25
2/26/20 14:55,2.5
2/26/20 15:00,2.33
2/26/20 15:05,2.25
2/26/20 15:10,2.42
2/26/20 15:15,2.42
2/26/20 15:20,2.33
2/26/20 15:25,2.5
2/26/20 15:30,2.5
2/26/20 15:35,2.42
2/26/20 15:40,2.42
2/26/20 15:45,2.5
2/26/20 15:50,2.42
2/26/20 15:55,2.33
2/26/20 16:00,2.42
2/26/20 16:05,2.33
2/26/20 16:10,2.42
2/26/20 16:15,2.42
2/26/20 16:20,2.33
2/26/20 16:25,2.5
2/26/20 16:30,2.5
2/26/20 16:35,2.33
2/26/20 16:40,2.33
2/26/20 16:45,2.33
2/26/20 16:50,2.33
2/26/20 16:55,2.41
2/26/20 17:00,2.5
2/26/20 17:05,2.33
2/26/20 17:10,2.5
2/26/20 17:15,2.41
2/26/20 17:20,2.33
2/26/20 17:25,2.41
2/26/20 17:30,2.5
2/26/20 17:35,2.33
2/26/20 17:40,2.41
2/26/20 17:45,2.41
2/26/20 17:50,2.33
2/26/20 17:55,2.33
2/26/20 18:00,2.33
2/26/20 18:05,2.33
2/26/20 18:10,2.33
2/26/20 18:15,2.41
2/26/20 18:20,2.24
2/26/20 18:25,2.33
2/26/20 18:30,2.24
2/26/20 18:35,2.24
2/26/20 18:40,2.24
2/26/20 18:45,2.33
2/26/20 18:50,2.24
2/26/20 18:55,2.33
2/26/20 19:00,2.33
2/26/20 19:05,2.24
2/26/20 19:10,2.33
2/26/20 19:15,2.24
2/26/20 19:20,2.24
2/26/20 19:25,2.33
2/26/20 19:30,2.33
2/26/20 19:35,2.24
2/26/20 19:40,2.33
2/26/20 19:45,2.24
2/26/20 19:50,2.24
2/26/20 19:55,2.32
2/26/20 20:00,2.24
2/26/20 20:05,2.16
2/26/20 20:10,2.32
